segment_index,start_lat,start_lon,end_lat,end_lon,distance_m,elev_delta_m,grade_pct,recommended_speed_mph,zone,zone_color,start_m,end_m
16,39.064501,-79.319739,39.064724,-79.320728,88.91365729489988,-8.61999999999989,-9.694798597036607,2.8887157536335066,speed-up,#1a9850,1810.2934247383346,1899.2070820332344
17,39.064724,-79.320728,39.064599,-79.321815,94.87057468975769,-7.960000000000036,-8.3903781820976,2.889563634074065,speed-up,#1a9850,1899.2070820332344,1994.077656722992
18,39.064599,-79.321815,39.064187,-79.322327,63.66131983589163,-1.8699999999998909,-2.937419464158836,2.8659891444396015,speed-up,#1a9850,1994.077656722992,2057.7389765588837
19,39.064187,-79.322327,39.06395,-79.322875,54.156702759140984,3.8899999999998727,7.182859741850307,2.100995587659718,slowdown,#d73027,2057.7389765588837,2111.8956793180246
20,39.06395,-79.322875,39.064089,-79.323405,48.2981815539461,4.309999999999945,8.923731414579118,1.9116288009068538,slowdown,#d73027,2111.8956793180246,2160.1938608719706
21,39.064089,-79.323405,39.063336,-79.323683,87.10197790988178,3.8500000000001364,4.420106285052972,2.392362319937085,slowdown,#d73027,2160.1938608719706,2247.2958387818526
22,39.063336,-79.323683,39.063169,-79.324087,39.515361727485804,3.8199999999999363,9.667126487020992,1.8294053299165016,slowdown,#d73027,2247.2958387818526,2286.8112005093385
23,39.063169,-79.324087,39.063273,-79.324635,48.70568315913945,4.420000000000073,9.074916340991052,1.8949728335571767,slowdown,#d73027,2286.8112005093385,2335.516883668478
24,39.063273,-79.324635,39.063315,-79.325309,58.37846573873429,5.129999999999882,8.787486849960347,1.926609974860392,slowdown,#d73027,2335.516883668478,2393.895349407212
25,39.063315,-79.325309,39.062694,-79.326468,121.57822801969877,7.210000000000036,5.93033811845969,2.234481745758585,slowdown,#d73027,2393.895349407212,2515.4735774269107
26,39.062694,-79.326468,39.062757,-79.327564,94.88542751294487,9.8599999999999,10.391479765061645,1.7485055193672592,slowdown,#d73027,2515.4735774269107,2610.3590049398554
27,39.062757,-79.327564,39.06305,-79.328148,60.03140325576809,9.700000000000045,16.15820966015487,1.076895786367697,slowdown,#d73027,2610.3590049398554,2670.3904081956234
28,39.06305,-79.328148,39.063462,-79.329253,105.8322383450814,6.039999999999964,5.707145662275106,2.2580258377311027,slowdown,#d73027,2670.3904081956234,2776.222646540705
29,39.063462,-79.329253,39.063866,-79.330357,105.37161491215129,0.020000000000209184,0.018980443658269126,2.8333111967283173,slowdown,#d73027,2776.222646540705,2881.5942614528562
30,39.063866,-79.330357,39.064759,-79.332091,179.64416585354164,-4.300000000000182,-2.393620733281057,2.8612381365437294,speed-up,#1a9850,2881.5942614528562,3061.238427306398
31,39.064759,-79.332091,39.065157,-79.33387,159.8392825490194,-4.449999999999818,-2.78404653038598,2.8646932413526986,speed-up,#1a9850,3061.238427306398,3221.0777098554177
32,39.065157,-79.33387,39.065457,-79.33475,82.97554438970403,0.07999999999992724,0.09641395014439218,2.825799535314747,slowdown,#d73027,3221.0777098554177,3304.0532542451215
33,39.065457,-79.33475,39.06554,-79.335568,71.22223554998955,3.9200000000000728,5.50389912606534,2.279402089032214,slowdown,#d73027,3304.0532542451215,3375.275489795111
34,39.06554,-79.335568,39.065338,-79.337104,134.49890503548085,4.2199999999998,3.13757201137553,2.5238031259433167,slowdown,#d73027,3375.275489795111,3509.7743948305915
35,39.065338,-79.337104,39.065087,-79.338308,107.6290388281705,4.430000000000064,4.115989558424421,2.423748780557503,slowdown,#d73027,3509.7743948305915,3617.403433658762
36,39.065087,-79.338308,39.064773,-79.339413,101.58904944999387,4.210000000000036,4.144147447774245,2.42084845572089,slowdown,#d73027,3617.403433658762,3718.992483108756
37,39.064773,-79.339413,39.064459,-79.340517,101.50837585692837,3.5699999999999363,3.5169511578351873,2.4851745437049746,slowdown,#d73027,3718.992483108756,3820.5008589656845
38,39.064459,-79.340517,39.064494,-79.340877,31.323630209575438,2.7200000000000273,8.683540131847618,1.938021368478237,slowdown,#d73027,3820.5008589656845,3851.82448917526
39,39.064494,-79.340877,39.064285,-79.341748,78.70782930371783,2.0599999999999454,2.6172745687736043,2.5764355736328675,slowdown,#d73027,3851.82448917526,3930.532318478978
40,39.064285,-79.341748,39.064187,-79.342952,104.51838013893195,1.8800000000001091,1.7987266904644936,2.6584319928340268,slowdown,#d73027,3930.532318478978,4035.0506986179103
41,39.064187,-79.342952,39.064299,-79.343392,39.977239224549464,2.160000000000082,5.403074454110017,2.289983659739596,slowdown,#d73027,4035.0506986179103,4075.02793784246
42,39.064299,-79.343392,39.064766,-79.344147,83.33915389502228,2.6099999999999,3.131781255287968,2.5243911022094756,slowdown,#d73027,4075.02793784246,4158.367091737482
43,39.064766,-79.344147,39.065094,-79.344946,78.03017854756604,2.490000000000009,3.191073051924573,2.518368453702438,slowdown,#d73027,4158.367091737482,4236.397270285048
44,39.065094,-79.344946,39.065526,-79.345755,84.76902957266036,1.599999999999909,1.8874817938412967,2.649588796512003,steady,#fdae61,4236.397270285048,4321.1662998577085
45,39.065526,-79.345755,39.06704,-79.346249,173.6673518145899,0.44000000000005457,0.253357925598938,2.810547658577878,steady,#fdae61,4321.1662998577085,4494.833651672298
46,39.06704,-79.346249,39.067619,-79.346617,71.79399406173586,-0.5699999999999363,-0.7939382777754247,2.844738614258334,steady,#fdae61,4494.833651672298,4566.627645734035
47,39.067619,-79.346617,39.067828,-79.347515,80.93438954084516,-0.9500000000000455,-1.173790282955812,2.848997519309907,steady,#fdae61,4566.627645734035,4647.56203527488
48,39.067828,-79.347515,39.068191,-79.348566,99.30749176992501,-0.6900000000000546,-0.6948116277054327,2.843592261420669,steady,#fdae61,4647.56203527488,4746.869527044805
